PLAYER_NAME,PLAYER_ID,GAME_DATE,TEAM_ID,OPP_TEAM_ID,HOME_AWAY,rolling_pts_avg_5G,rolling_pts_median_5G,rolling_3pm_avg_5G,rolling_3pm_median_5G,rolling_min_avg_5G,rolling_std_pts_5G,pts_consistency_score,rest_days,is_b2b,rolling_opp_def_rating_5G,rolling_opp_ast_pct_5G,rolling_opp_blocks_5g,rolling_opp_steals_5g,rolling_opp_fouls_5g,rolling_team_off_rating_5G,rolling_team_reb_pct_5G,rolling_team_ast_pct_5G,rolling_opp_reb_pct_5G,latest_team_e_off_rating,latest_opp_e_def_rating,adjusted_pts_proj_def,adjusted_pts_proj_usg,rolling_usg_pct_5G,rolling_e_usg_pct_5G,rolling_fg_pct_5G,rolling_fg3_pct_5G,rolling_fga_5G,delta_pts_vs_rolling,delta_min_vs_rolling,delta_fga_vs_rolling,opp_def_trend_delta,fg_pct_vs_avg_delta,shots_per_min,pts_per_fga,pts_per_min,team_pace,opp_pace,pts_to_3pm_ratio,pts_trend_slope_5G,is_volume_shooter,is_trending_up,is_trending_down,high_efficiency,rolling_ast_pct_5G,rolling_oreb_pct_5G,rolling_dreb_pct_5G,rolling_reb_pct_5G,rolling_poss_5g,ast_to_poss_ratio,usg_to_poss_ratio,engagement_index,volume_efficiency_ratio,starts_as_C,starts_as_G,starts_as_F,is_starter,rolling_pts_from_2_5g,rolling_pts_from_3_5g,rolling_pts_from_ft_5g,rolling_looseball_rec_5g,rolling_screen_ast_5g,touches_to_pts_ratio,transition_pts_pct,volume_times_efficiency,usg_min_product,scoring_touch_ratio,volume_efficiency_to_pts,adjusted_shot_creation,PTS
Jalen Brunson,1628973,2024-11-17,1610612752,1610612751,1,25.4,24.0,1.4,1.0,35.2,9.44986772394196,2.6878654668353255,2,0,124.0,0.692,3.0,5.2,18.4,124.0,0.543,0.568,0.457,123.6,123.6,25.4,25.4,0.279,,0.4918,0.24159999999999998,17.2,11.600000000000001,-1.2000000000000028,0.813953488372093,-0.4000000000000057,0.4351362342415616,0.4886363636363636,1.4767441860465116,0.721590909090909,92.38,102.5,18.142857142857142,22,1,1,0,1,0.3102,0.011199999999999998,0.09020000000000002,0.05219999999999999,73.4,0.004226158038147138,0.003801089918256131,0.006350746564220365,0.41201162790697676,0,1,0,1,14.4,4.2,6.8,0.8,0.6,0.29195402298850576,0.15748031496062992,25.4,9.820800000000002,0.210671368861024,10.46509534883721,17.510199999999998,12
Jalen Brunson,1628973,2024-11-18,1610612752,1610612764,1,24.8,24.0,1.4,1.0,35.6,10.329569206893384,2.400872243029016,1,1,122.8,0.538,5.0,8.0,20.8,128.1,0.588,0.767,0.475,120.8,122.3,24.8,24.8,0.2906,,0.4488,0.24159999999999998,17.2,-12.8,-1.6000000000000014,0.872093023255814,-0.5,1.3368983957219251,0.4831460674157303,1.4418604651162792,0.6966292134831461,92.38,104.0,17.714285714285715,-21,1,0,1,1,0.31520000000000004,0.011199999999999998,0.1066,0.0608,74.0,0.00425945945945946,0.003927027027027028,0.0066325718379368,0.4190046511627908,0,1,0,1,13.2,4.2,7.4,0.6,0.8,0.2824601366742597,0.0967741935483871,24.8,10.345360000000001,0.19676998285173147,10.391315348837212,17.5152,26
Jalen Brunson,1628973,2024-11-20,1610612752,1610612756,0,23.4,24.0,2.2,3.0,33.4,9.370165420097983,2.497285157523263,2,0,122.5,0.714,4.2,7.6,18.0,139.6,0.527,0.725,0.548,137.1,121.1,23.4,23.4,0.2862,,0.4394,0.2528,16.8,2.6000000000000014,-3.3999999999999986,1.25,-1.4000000000000057,1.2994993172507965,0.502994011976048,1.3928571428571428,0.7005988023952096,92.38,101.5,10.636363636363635,8,1,1,0,1,0.33520000000000005,0.011199999999999998,0.08,0.046200000000000005,68.6,0.004886297376093296,0.004172011661807581,0.006716838377334192,0.39863571428571426,0,1,0,1,10.8,6.6,6.0,0.4,0.8,0.2826086956521739,0.1111111111111111,23.4,9.55908,0.19799531372038529,9.328075714285713,17.1352,36
Jalen Brunson,1628973,2024-11-23,1610612752,1610612762,0,27.0,26.0,3.6,3.0,33.8,10.198039027185569,2.647565228214184,3,0,116.7,0.537,2.6,8.4,21.4,135.3,0.547,0.6,0.5,137.7,116.4,27.0,27.0,0.29179999999999995,,0.48699999999999993,0.38,18.0,9.0,3.200000000000003,1.0555555555555556,-0.29999999999999716,0.8644763860369611,0.5325443786982249,1.5,0.7988165680473374,92.38,105.96,7.5,12,1,1,0,1,0.36920000000000003,0.0186,0.06760000000000001,0.0434,68.8,0.0053662790697674425,0.0042412790697674415,0.007083098704850776,0.4376999999999999,0,1,0,1,10.8,10.8,5.4,0.4,0.4,0.32142857142857145,0.1111111111111111,27.0,9.862839999999997,0.25676246830092986,11.817899999999998,18.3692,23
Jalen Brunson,1628973,2024-11-25,1610612752,1610612743,0,26.8,26.0,3.4,3.0,34.4,10.2810505299799,2.606734968814778,2,0,100.0,0.74,4.2,9.0,18.8,103.9,0.41899999999999993,0.641,0.598,102.6,98.9,26.8,26.8,0.2906000000000001,,0.48119999999999996,0.3578,17.8,-3.8000000000000007,2.6000000000000014,0.7865168539325842,-1.0999999999999943,1.186616791354946,0.5174418604651163,1.5056179775280898,0.7790697674418605,92.38,94.0,7.882352941176471,-14,1,0,1,1,0.366,0.0134,0.06520000000000001,0.039400000000000004,69.4,0.005273775216138328,0.0041873198847262256,0.007028031343404152,0.437532584269663,0,1,0,1,10.8,10.2,5.8,0.8,0.4,0.3228915662650602,0.13432835820895522,26.8,9.996640000000003,0.25155505743905854,11.725873258426969,18.166,23
Jalen Brunson,1628973,2024-11-27,1610612752,1610612742,0,24.0,23.0,3.6,4.0,35.2,8.573214099741124,2.799413583592747,2,0,105.3,0.511,6.8,7.8,18.8,145.0,0.5,0.804,0.515,142.1,105.3,24.0,24.0,0.2634,,0.47539999999999993,0.4428000000000001,16.6,-1.0,2.799999999999997,1.2650602409638554,0.0,1.4030290281867903,0.4715909090909091,1.4457831325301203,0.6818181818181818,92.38,94.5,6.666666666666666,11,1,1,0,1,0.39459999999999995,0.0134,0.061399999999999996,0.038400000000000004,70.6,0.005589235127478753,0.0037308781869688393,0.006987758378486855,0.3808192771084337,0,1,0,1,8.8,10.8,4.4,0.8,0.4,0.2702702702702703,0.14166666666666666,24.0,9.271680000000002,0.18427518427518427,9.139662650602409,16.994600000000002,37
Jalen Brunson,1628973,2024-11-29,1610612752,1610612766,0,29.0,26.0,3.6,4.0,35.6,6.96419413859206,4.164151340610024,2,0,105.4,0.595,5.6,8.0,20.4,117.5,0.4600000000000001,0.5,0.481,112.6,97.3,29.0,29.0,0.27240000000000003,,0.5660000000000001,0.4428000000000001,18.0,8.0,0.3999999999999986,1.0,-8.100000000000009,0.8833922261484098,0.5056179775280899,1.6111111111111112,0.8146067415730337,92.38,101.5,8.055555555555555,11,1,1,0,1,0.4,0.0073999999999999995,0.059199999999999996,0.032999999999999995,72.6,0.005509641873278238,0.0037520661157024802,0.006987756072433333,0.43886666666666674,0,1,0,1,13.2,10.8,5.0,0.8,0.2,0.32657657657657657,0.1310344827586207,29.0,9.697440000000002,0.2660314809191214,12.727133333333335,18.4,31
Jalen Brunson,1628973,2024-12-01,1610612752,1610612740,1,30.166666666666668,31.0,3.5,4.0,37.0,6.080021929785011,4.961596750649525,2,0,115.4,0.421,5.2,9.8,17.0,107.6,0.539,0.556,0.477,100.7,113.8,30.166666666666668,30.166666666666668,0.28583333333333333,,0.5383333333333333,0.49866666666666665,18.5,0.8333333333333321,0.0,0.5945945945945946,-1.6000000000000085,0.6761609907120743,0.5,1.6306306306306306,0.8153153153153153,92.38,102.5,8.619047619047619,-5,1,0,1,1,0.3878333333333333,0.006166666666666667,0.09116666666666666,0.05066666666666667,73.66666666666667,0.0052647058823529404,0.003880090497737556,0.007209448923393383,0.4660885885885886,0,1,0,1,13.0,10.5,6.666666666666667,1.1666666666666667,0.8333333333333334,0.3345656192236599,0.08839779005524862,30.166666666666668,10.575833333333334,0.27277647333100197,14.060339089089089,18.887833333333333,16
Jalen Brunson,1628973,2024-12-03,1610612752,1610612753,1,26.833333333333332,27.0,2.8333333333333335,3.5,35.166666666666664,7.547626558506102,3.5551967990685065,2,0,93.9,0.676,9.4,11.6,21.0,116.8,0.584,0.714,0.573,115.6,90.5,26.833333333333332,26.833333333333332,0.274,,0.5038333333333332,0.4641666666666666,16.833333333333332,-10.833333333333332,-9.166666666666664,0.8910891089108911,-3.4000000000000057,1.057889513728085,0.4786729857819905,1.5940594059405941,0.7630331753554502,92.38,90.0,9.470588235294116,-7,1,0,1,1,0.4051666666666667,0.013333333333333334,0.08716666666666667,0.05116666666666667,70.0,0.005788095238095238,0.003914285714285715,0.007258331676936328,0.4367722772277228,0,1,0,1,11.666666666666666,8.5,6.666666666666667,1.3333333333333333,0.8333333333333334,0.3078393881453155,0.07453416149068323,26.833333333333332,9.635666666666667,0.23489166583599902,11.720056105610562,17.2385,21
Jalen Brunson,1628973,2024-12-05,1610612752,1610612766,1,26.5,27.0,2.6666666666666665,3.5,33.5,7.791020472312982,3.401347240801222,2,0,118.3,0.647,5.0,8.4,19.6,118.6,0.521,0.698,0.571,112.2,116.0,26.5,26.5,0.2823333333333333,,0.5225,0.48266666666666674,16.166666666666668,-5.5,-6.5,0.49484536082474223,-2.299999999999997,1.4354066985645935,0.48258706467661694,1.6391752577319587,0.7910447761194029,92.38,101.5,9.9375,-2,1,0,1,1,0.3775,0.021666666666666667,0.083,0.054,66.16666666666667,0.00570528967254408,0.004267002518891687,0.00706415965693551,0.46279381443298967,0,1,0,1,12.0,8.0,6.5,1.0,0.6666666666666666,0.3271604938271605,0.03773584905660377,26.5,9.458166666666667,0.2587985995946195,12.264036082474226,16.54416666666667,24
Jalen Brunson,1628973,2024-12-07,1610612752,1610612765,1,26.666666666666668,27.5,2.8333333333333335,3.5,31.666666666666668,7.711463328491336,3.4580508199570867,2,0,128.7,0.628,5.2,8.4,18.8,134.4,0.522,0.707,0.44699999999999995,134.3,121.5,26.666666666666668,26.666666666666668,0.282,,0.5523333333333333,0.4881666666666667,15.166666666666666,-2.666666666666668,-4.666666666666668,1.3846153846153846,-7.199999999999989,0.9487024743512372,0.4789473684210526,1.7582417582417584,0.8421052631578947,92.38,94.5,9.411764705882353,-13,1,0,1,1,0.3468333333333333,0.021666666666666667,0.07583333333333332,0.04950000000000001,62.166666666666664,0.005579088471849866,0.0045361930294906165,0.006822219987260719,0.4958241758241758,0,1,0,1,11.0,8.5,7.166666666666667,0.8333333333333334,0.6666666666666666,0.36613272311212813,0.0625,26.666666666666668,8.93,0.3083222931470552,13.221978021978023,15.513499999999999,31
Jalen Brunson,1628973,2024-12-09,1610612752,1610612761,0,25.666666666666668,27.5,3.3333333333333335,3.5,33.0,6.377042156569664,4.024848164402226,2,0,117.9,0.86,4.4,7.0,20.8,111.0,0.422,0.643,0.454,109.0,123.4,25.666666666666668,25.666666666666668,0.2793333333333333,,0.5285,0.5596666666666666,15.166666666666666,5.333333333333332,11.0,0.8571428571428572,5.5,1.0179754020813625,0.45959595959595956,1.6923076923076925,0.7777777777777778,92.38,101.5,7.7,0,1,0,0,1,0.3398333333333334,0.021666666666666667,0.07833333333333332,0.051,65.16666666666667,0.005214833759590793,0.004286445012787723,0.006713078900798024,0.47271794871794875,0,1,0,1,9.0,10.0,6.666666666666667,0.8333333333333334,0.6666666666666666,0.3355119825708061,0.06493506493506493,25.666666666666668,9.218,0.2609537642217381,12.133094017094018,15.506499999999999,20
Jalen Brunson,1628973,2024-12-11,1610612752,1610612737,1,22.4,21.0,3.2,3.0,31.8,5.594640292279745,4.003824873720981,2,0,131.8,0.634,4.2,11.6,20.2,118.9,0.418,0.762,0.48,119.8,125.3,22.4,22.4,0.2648,,0.5418000000000001,0.5048,13.6,-2.3999999999999986,3.1999999999999993,1.1029411764705883,-6.500000000000014,0.6146179401993355,0.42767295597484273,1.6470588235294117,0.7044025157232704,92.38,97.0,6.999999999999999,4,0,1,0,1,0.3578,0.026000000000000002,0.0602,0.0416,64.8,0.005521604938271606,0.00408641975308642,0.006647051759337096,0.4361411764705882,0,1,0,1,8.0,9.6,4.8,0.4,0.0,0.3076923076923077,0.125,22.4,8.420639999999999,0.21673923560716013,9.769562352941175,13.957799999999999,14
Jalen Brunson,1628973,2024-12-15,1610612752,1610612753,0,22.0,21.0,3.0,3.0,33.8,6.2048368229954285,3.5456153274351685,4,0,116.3,0.46299999999999997,5.4,10.4,20.0,101.0,0.44299999999999995,0.675,0.574,97.5,115.2,22.0,22.0,0.25660000000000005,,0.5356,0.4856,14.4,-8.0,2.200000000000003,1.25,-1.0999999999999943,0.8289768483943242,0.42603550295857995,1.5277777777777777,0.6508875739644971,92.38,90.0,7.333333333333333,-7,0,0,1,1,0.3222,0.015000000000000003,0.0728,0.044199999999999996,68.8,0.004683139534883721,0.0037296511627906985,0.00623548722876131,0.3920277777777778,0,1,0,1,8.8,9.0,4.2,0.6,0.0,0.2949061662198391,0.12727272727272726,22.0,8.67308,0.19195075907800183,8.624611111111111,14.7222,31
Jalen Brunson,1628973,2024-12-19,1610612752,1610612750,0,24.0,24.0,3.6,4.0,36.0,7.314369419163897,3.2812079637432086,4,0,92.9,0.65,5.6,11.2,15.0,106.4,0.526,0.606,0.513,104.0,90.2,24.0,24.0,0.26239999999999997,,0.5178,0.519,15.0,7.0,2.0,0.9333333333333333,-2.700000000000003,0.6894553881807647,0.4166666666666667,1.6,0.6666666666666666,92.38,94.0,6.666666666666666,7,1,1,0,1,0.3484,0.005,0.07980000000000001,0.0438,72.8,0.0047857142857142855,0.003604395604395604,0.006684775948694905,0.41984,0,1,0,1,7.6,10.8,5.6,0.8,0.0,0.2955665024630542,0.11666666666666667,24.0,9.446399999999999,0.19704433497536947,10.07616,15.3484,14
